会場,LIVE,住所
 国立代々木競技場第一体育館,"
2023/01/14 ROAD GAME『テクノプア』~叢雲のつるぎ~
2023/01/15 ROAD GAME『テクノプア』~叢雲のつるぎ~
2025/05/17 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/05/18 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",東京都渋谷区神南2-1-1
 福岡国際センター,"
2025/05/10 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/05/11 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",福岡県福岡市博多区築港本町2-2
 大阪城ホール,"
2025/04/28 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/04/29 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",大阪府大阪市中央区大阪城3-1
 Aichi Sky Expo ホールA,"
2025/04/19 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/04/20 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",愛知県常滑市セントレア5-10-1
 LaLa arena TOKYO-BAY,"
2025/04/05 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/04/06 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",千葉県船橋市浜町2-5-15
 ぴあアリーナMM,"
2025/03/29 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/03/30 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",神奈川県横浜市西区みなとみらい3-2-2
 ロームシアター京都,"
2024/01/29 原始五年巡回公演「喫茶・愛のペガサス」
2024/01/30 原始五年巡回公演「喫茶・愛のペガサス」
2025/01/22 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2025/01/23 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",京都府京都市左京区岡崎最勝寺町13
 広島文化学園HBGホール,"
2023/12/09 原始五年巡回公演「喫茶・愛のペガサス」
2025/01/17 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2025/01/18 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",広島県広島市中区加古町3-3
 宮崎市⺠文化ホール,"
2025/01/11 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",宮崎県宮崎市花山手東3-25-3
 iichiko グランシアタ,"
2025/01/09 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",大分県大分市高砂町2-33
 センチュリーホール（現在は休館）,"
2022/02/08 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/02/09 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/10/25 GAME CENTER TOUR『テクノプア』
2022/10/26 GAME CENTER TOUR『テクノプア』
2023/10/17 原始五年巡回公演「喫茶・愛のペガサス」
2023/10/18 原始五年巡回公演「喫茶・愛のペガサス」
2024/11/06 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2025/01/07 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",愛知県名古屋市熱田区熱田西町1-1
 松戸 森のホール21 大ホール,"
2024/12/25 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",千葉県松戸市千駄堀646-4
 本多の森 北電ホール,"
2021/11/13 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/11/18 GAME CENTER TOUR『テクノプア』
2023/10/27 原始五年巡回公演「喫茶・愛のペガサス」
2024/12/21 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/12/22 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",石川県金沢市石引4-17-1
 あきた芸術劇場ミルハス 大ホール,"
2024/12/19 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",秋田県秋田市千秋明徳町2-52
 神奈川県民ホール 大ホール（現在は閉館）,"
2022/11/17 GAME CENTER TOUR『テクノプア』
2024/12/11 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/12/12 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",神奈川県横浜市中区山下町3-1
 岡山芸術創造劇場 ハレノワ 大劇場,"
2024/12/08 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",岡山県岡山市北区表町3-11-50
 米子コンベンションセンター,"
2024/12/07 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",鳥取県米子市末広町294
 福岡サンパレス,"
2022/12/17 GAME CENTER TOUR『テクノプア』
2023/11/03 原始五年巡回公演「喫茶・愛のペガサス」
2023/11/04 原始五年巡回公演「喫茶・愛のペガサス」
2024/11/29 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/11/30 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",福岡県福岡市博多区築港本町2-1
 なら100年会館,"
2024/11/24 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",奈良県奈良市三条宮前町7-1
 仙台サンプラザ,"
2022/10/29 GAME CENTER TOUR『テクノプア』
2023/10/06 原始五年巡回公演「喫茶・愛のペガサス」
2024/11/18 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/11/19 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",宮城県仙台市宮城野区榴岡5-11-1
 旭川市民文化会館,"
2024/11/15 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",北海道旭川市7条通9
" カナモトホール
 （スナネコ建設のみ札幌文化芸術劇場hitaru）","
2021/12/22 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2021/12/23 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/11/01 GAME CENTER TOUR『テクノプア』
2022/11/02 GAME CENTER TOUR『テクノプア』
2023/12/01 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/02 原始五年巡回公演「喫茶・愛のペガサス」
2024/11/13 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",北海道札幌市中央区北1条西1
 松山市民会館,"
2023/11/26 原始五年巡回公演「喫茶・愛のペガサス」
2024/11/04 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",愛媛県松山市堀之内
 フェスティバルホール,"
2022/01/26 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/01/27 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/12/12 GAME CENTER TOUR『テクノプア』
2022/12/13 GAME CENTER TOUR『テクノプア』
2023/11/14 原始五年巡回公演「喫茶・愛のペガサス」
2023/11/15 原始五年巡回公演「喫茶・愛のペガサス」
2024/10/28 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/29 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",大阪府大阪市北区中之島2-3-18
 ⻑良川国際会議場 メインホール,"
2024/10/25 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",岐阜県岐阜市長良福光2695-2
 アクトシティ浜松 大ホール,"
2023/10/11 原始五年巡回公演「喫茶・愛のペガサス」
2024/10/22 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/23 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",静岡県浜松市中央区板屋町111-1
 東京ガーデンシアター,"
2020/11/28 「やきやきヤンキーツアー(炙りと燻製編)」
2020/11/29 「やきやきヤンキーツアー(炙りと燻製編)」
2022/12/21 GAME CENTER TOUR『テクノプア』
2022/12/22 GAME CENTER TOUR『テクノプア』
2023/12/18 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/19 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/21 原始五年巡回公演「喫茶・愛のペガサス」
2023/12/22 原始五年巡回公演「喫茶・愛のペガサス」
2024/10/16 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/17 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",東京都江東区有明2-1-6
 大宮ソニックシティ 大ホール,"
2024/10/09 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/10 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",埼玉県さいたま市大宮区桜木町1-7-5
 ベイシア文化ホール（現在は休館）,"
2022/01/16 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2024/10/05 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2024/10/06 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",群馬県前橋市日吉町1-10-1
 Kアリーナ横浜,"
2024/05/04 本格中華喫茶・愛のペガサス～羅武の香辛龍
2024/05/05 本格中華喫茶・愛のペガサス～羅武の香辛龍
",神奈川県横浜市西区みなとみらい6-2-14
 沖縄・ミュージックタウン音市場,"
2024/01/13 原始五年巡回公演「喫茶・愛のペガサス」沖縄出張所
2024/01/14 原始五年巡回公演「喫茶・愛のペガサス」沖縄出張所
",沖縄県沖縄市上地1-1-1
 アクリエ姫路,"
2023/12/11 原始五年巡回公演「喫茶・愛のペガサス」
",兵庫県姫路市神屋町143-2
 倉敷市民会館,"
2023/12/08 原始五年巡回公演「喫茶・愛のペガサス」
",岡山県倉敷市本町17-1
 Zepp Haneda,"
2023/05/30 元素どろ団子TOUR
2023/05/31 元素どろ団子TOUR
2023/11/29 【恋のダビング】-実録！幻の五香粉を求めて-
",東京都大田区羽田空港1-1-4
 高知市文化プラザ かるぽーと,"
2023/11/24 原始五年巡回公演「喫茶・愛のペガサス」
",高知県高知市九反田2-1
 市民会館シアーズホーム夢ホール(熊本市民会館),"
2022/11/26 GAME CENTER TOUR『テクノプア』
2023/11/21 原始五年巡回公演「喫茶・愛のペガサス」
",熊本県熊本市中央区桜町1-3
 岩手県民会館 大ホール(トーサイクラシックホール岩手),"
2023/11/17 原始五年巡回公演「喫茶・愛のペガサス」
",岩手県盛岡市内丸13-1
 よこすか芸術劇場,"
2021/12/05 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/09/30 GAME CENTER TOUR『テクノプア』
2022/10/01 GAME CENTER TOUR『テクノプア』
2023/11/10 原始五年巡回公演「喫茶・愛のペガサス」
",神奈川県横須賀市本町3-27
 J:COMホール八王子,"
2022/01/21 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/11/11 GAME CENTER TOUR『テクノプア』
2023/11/09 原始五年巡回公演「喫茶・愛のペガサス」
",東京都八王子市子安町4-7-1
 長崎ブリックホール,"
2023/11/01 原始五年巡回公演「喫茶・愛のペガサス」
",長崎県長崎市茂里町2-38
 福井フェニックスプラザ,"
2023/10/29 原始五年巡回公演「喫茶・愛のペガサス」
",福井県福井市田原1-13-6
 水戸市民会館 グロービスホール,"
2023/10/14 原始五年巡回公演「喫茶・愛のペガサス」
",茨城県水戸市泉町1-7-1
 やまぎん県民ホール(山形県総合文化芸術館),"
2023/10/07 原始五年巡回公演「喫茶・愛のペガサス」
",山形県山形市双葉町1-2-38
 新潟県民会館 大ホール,"
2023/10/04 原始五年巡回公演「喫茶・愛のペガサス」
",新潟県新潟市中央区一番堀通町3-13
 川口総合文化センター リリア メインホール（現在は休館）,"
2022/11/10 GAME CENTER TOUR『テクノプア』
2023/09/28 原始五年巡回公演「喫茶・愛のペガサス」
2023/09/29 原始五年巡回公演「喫茶・愛のペガサス」
",埼玉県川口市川口3-1-1
 相模女子大学グリーンホール,"
2023/09/21 原始五年巡回公演「喫茶・愛のペガサス」
2023/09/22 原始五年巡回公演「喫茶・愛のペガサス」
",神奈川県相模原市南区相模大野4-4-1
 新宿マルイ メン 屋上,"
2023/06/04 活動6周年記念日アコースティックLIVE。
",東京都新宿区新宿5-16-4
 Zepp Namba,"
2019/10/30 「潜潜ツアー」
2023/05/24 元素どろ団子TOUR
2023/05/25 元素どろ団子TOUR
",大阪府大阪市浪速区敷津東2-1-39
 Zepp Fukuoka,"
2019/11/13 「潜潜ツアー」
2023/05/19 元素どろ団子TOUR
2023/05/20 元素どろ団子TOUR
",福岡県福岡市中央区地行浜2-2-1
 Zepp Sapporo,"
2023/05/12 元素どろ団子TOUR
2023/05/13 元素どろ団子TOUR
",北海道札幌市中央区南9条西4-4
 Zepp DiverCity TOKYO,"
2019/08/05 夏休みLIVE 〜水飲み場にて笑みの契約〜
2019/08/06 夏休みLIVE 〜水飲み場にて笑みの契約〜
2023/05/01 元素どろ団子TOUR
2023/05/02 元素どろ団子TOUR
",東京都江東区青海1-1-10
 Zepp Nagoya,"
2019/10/07 「潜潜ツアー」
2023/04/27 元素どろ団子TOUR
2023/04/28 元素どろ団子TOUR
",愛知県名古屋市中村区平池町4-60-7
 KT Zepp Yokohama,"
2023/04/20 元素どろ団子TOUR
2023/04/21 元素どろ団子TOUR
",神奈川県横浜市西区みなとみらい4-3-6
 上野学園ホール,"
2021/12/18 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/12/10 GAME CENTER TOUR『テクノプア』
",広島県広島市中区白島北町19-1
 静岡市民文化会館 大ホール（現在は休館）,"
2022/01/30 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/12/04 GAME CENTER TOUR『テクノプア』
",静岡県静岡市葵区駿府町2-90
 周南市文化会館,"
2022/11/25 GAME CENTER TOUR『テクノプア』
",山口県周南市徳山5854-41
 長野県ホクト文化ホール・大ホール,"
2021/11/05 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2022/11/20 GAME CENTER TOUR『テクノプア』
",長野県長野市若里1-1-3
 レクザムホール・大ホール（香川県県民ホール）,"
2022/10/23 GAME CENTER TOUR『テクノプア』
",香川県高松市玉藻町9-10
 宇都宮市文化会館 大ホール,"
2022/10/16 GAME CENTER TOUR『テクノプア』
",栃木県宇都宮市明保野町7-66
 神戸国際会館,"
2022/10/11 GAME CENTER TOUR『テクノプア』
2022/10/12 GAME CENTER TOUR『テクノプア』
",兵庫県神戸市中央区御幸通8-1-6
 高崎芸術劇場 大劇場,"
2022/10/06 GAME CENTER TOUR『テクノプア』
",群馬県高崎市栄町9-1
 さいたまスーパーアリーナ,"
2022/04/16 Z FACTORY「鷹は飢えても踊り忘れず」
2022/04/17 Z FACTORY「鷹は飢えても踊り忘れず」
",埼玉県さいたま市中央区新都心8
 Billboard Live TOKYO,"
2022/03/20 「ZUTOMAYO PLUGLESS」at. ビルボードライブ
",東京都港区赤坂9-7-4
 Billboard Live OSAKA,"
2022/03/18 「ZUTOMAYO PLUGLESS」at. ビルボードライブ
",大阪府大阪市北区梅田2-2-22
 下関市民会館 大ホール,"
2021/12/19 果羅火羅武〜TOUR (カラカラブ〜ツアー)
",山口県下関市竹崎町4-5-1
 仙台銀行ホール イズミティ21,"
2021/12/12 果羅火羅武〜TOUR (カラカラブ〜ツアー)
",宮城県仙台市泉区泉中央2-18-1
 千葉県文化会館,"
2021/12/11 果羅火羅武〜TOUR (カラカラブ〜ツアー)
",千葉県千葉市中央区市場町11-2
 サンポートホール高松,"
2021/11/27 果羅火羅武〜TOUR (カラカラブ〜ツアー)
",香川県高松市サンポート2-1
 福岡市民会館（現在は閉館）,"
2021/11/24 果羅火羅武〜TOUR (カラカラブ〜ツアー)
2021/11/25 果羅火羅武〜TOUR (カラカラブ〜ツアー)
",福岡県福岡市中央区天神5-2-2
 川商ホール第一ホール,"
2021/11/21 果羅火羅武〜TOUR (カラカラブ〜ツアー)
",鹿児島県鹿児島市与次郎2-3-1
 和光市民文化センター サンアゼリア 大ホール,"
2021/11/03 果羅火羅武〜TOUR (カラカラブ〜ツアー)
",埼玉県和光市広沢1-5
 幕張メッセ幕張イベントホール,"
2021/05/15 CLEANING LABO「温れ落ち度」
2021/05/16 CLEANING LABO「温れ落ち度」
",千葉県千葉市美浜区中瀬2-1
 Zepp Tokyo（現在は閉館）,"
2019/10/23 「潜潜ツアー」
2019/10/24 「潜潜ツアー」
2019/11/27 「潜潜ツアー」
",東京都江東区青海1-3-11
 チームスマイル・仙台PIT,"
2019/10/14 「潜潜ツアー」
",宮城県仙台市太白区あすと長町2-2-50
 ペニーレーン24,"
2019/10/02 「潜潜ツアー」
2019/10/03 「潜潜ツアー」
",北海道札幌市西区二十四軒4条5-5-21
 TSUTAYA O-EAST（現在はSpotify O-EAST）,"
2019/04/12 1st LIVE 〜まだまだ偽りでありんす。〜
",東京都渋谷区道玄坂2-14-8
 BIGCAT,"
2019/04/05 1st LIVE 〜まだまだ偽りでありんす。〜
",大阪府大阪市中央区西心斎橋1-6-14
 DIAMOND HALL,"
2019/04/04 1st LIVE 〜まだまだ偽りでありんす。〜
",愛知県名古屋市中区新栄2-1-9
 渋谷 CLUB QUATTRO,"
2019/01/11 1st LIVE 〜まだ偽りでありんす。〜
",東京都渋谷区宇田川町32-134
 代官山LOOP（現在は閉館）,"
2018/08/29 真夜中じゃないけど夜にするライブ
",東京都渋谷区鉢山町13-12
